,Sentiment,Text
5430,positive,cepet sembuh sayaang semoga kamu selalu diberikan kekuatan dan allah angkat sakit kamu segera yaaemangat a
5431,positive,selamat bertambah umur kamuu semoga kamu sehat selalu dan dipanjangkan umurmuemoga kamu selalu di
5432,positive,wei aku kt kedai mamak ni tiba2 keluar nudes kt tl aduh hahahaha
5433,positive,walaupun maut memisahkan kita aku akan selalu mencintaimu menyayangimu setulus hatiku fellychibi
5434,positive,hari ini aku akan berusaha untuk bersinar dengan awan berjalan beriringan dan tetap memuja kebebasan hanyutku
5435,positive,rindu kau tapi takpa la aku doa dari jauh jeemoga tuhan beri perlindungan pada kau
5436,positive,mantap nih kata kata pak jokowi aku dan para avengers lain siap untuk mencegah thanos menghapus setengah dari populasi j
5437,positive,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaah
5438,positive,muhammad q muhammad q dengarkanlah seruanku aku rindu ak rindu padamu muhammad q
5439,positive,jangan lupa sholat jumat ya sayang aku jelek ya sayang ' bukan biar ganteng ih itu kan wajib oh kirain makasi
5440,positive,seseorang yang bisa membuat aku sering merasa khawatir berarti dialah orang yang sangat aku sayang
5441,positive,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit
5442,positive,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man
5443,positive,aku mauuuu
5444,positive,omg kamu harus melihat ini bigolive gt pada kemana aja
5445,positive,ngikik baca ginian siang hari
5446,positive,wahai manusia yang aku suka terima kasih sebab support aku serta ada ketika aku gembira dan duka kau memang anugerah
5447,positive,lipstik yg creamy kaya purbasari gt bibir aku kering kalo pake itu enak ga keliatan kering
5448,positive,gemes kan aku oenyoe getoh cmiew jfclosedday
5449,positive,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu
5450,positive,kenangan yg paling indah itu ialah ketika pertama kali kau cumbui aku sayang
5451,positive,teruntuk kak rehan kamu yg sabar ya
5452,positive,terus dia sharing2 gitu deh sama ngasih motivasi gua sama ngasih petuah2 kalo kamu pgn kaya amp nikah di umur sebelum 30th
5453,positive,belum start kuliah aku dah ponteng haih apa nak jadi hahaha
5454,positive,iya tp ada lagi tempat paling indah aku mau tunjukkin ke km dgn semangataya bawa dia ke tempat titik favorit saya
5455,positive,kalau aku berjuang trus sampai akhir aku pasti akan menemukan jalannya matsukaze tenma
5456,positive,hsjsjs aku juga apalagi kalo diliat dancenya
5457,positive,selamat berehat mr acappan antara pelawak aku suka amp evergreen selainathiya
5458,positive,senang senang je aku diperbodohkan duluob sob
5459,positive,ngantuk aku tidur dulu jangan khawatir besok aku masih mencintaimu seperti biasanya besok aku masih ngirim pesan seperti
5460,positive,mauu dm aku
5461,positive,karena aku percaya allah sdh mentakd
5462,positive,iya bener hahaha aku uda folback wlpun jarang pake ig hahaha fbmu apa
5463,positive,jeffan jangan manis manis banget donk nanti aku diabetes
5464,positive,aku cinta diriku sendiri
5465,positive,gigih nau
5466,positive,thanks wey sebab kau berani lagi tegur aku walaupun aku dah tak suke
5467,positive,aku berada ditempat dimana aku bisa menjadi seseorang yg berjalan diatas kakinya sendiri aku berada ditempat dimana aku bi
5468,positive,aku suka perempuan yang susah nak dapat tapi tulah susah betul nak dapat
5469,positive,aku suka jinkook
5470,positive,aku tahu kau boleh sabar k
5471,positive,aku sumpah cheese ni penyelesaian segala masalah kat malaysia nak kedai makan laris jual makanan dengan cheese nak b
5472,positive,jika aku bisa memutar kembali waktu aku tidak akan memutarnya karena aku tau kamu sdh bahagia dan beginilah seharusnya
5473,positive,berarti aku sepecial
5474,positive,aku nak pesan satu benda penting ni hargai orang yang masih ada kat dunia ni especially ur mom dad grandma pa siblin
5475,positive,aku xpernah tengok mak bahagia sebahagia dye hidup dengan pakcik mak yg dulunya sedih susah dah mule ade sinar bah
5476,positive,gua dinyanyiin raisa lagunya mantan terindah ya allah aku terharu
5477,positive,kok aku minat yg 20 ya pen nonton magic kaito berapaan
5478,positive,tiap salam buat suami aku exo di korea paaak
5479,positive,sesungguhnya penguasaan diri adalah penanda dari kedewasaan seseorangelamat buat kamu yang memang benar benar sudah b
5480,positive,temen doakan aku ya biar bisa dilancarkan buat ngerjain skripsi terutama bulan ini
5481,positive,kalau kamu mau dihormati harus mau menghormati
5482,positive,ambik aku pls hahahahaha
5483,positive,aku di bilang akun bisyar receh katanya iya gpp kok klo yg berasa highclass seh beda ya di senyumin aja
5484,positive,ya tuhanku jadikanlah negeri ini mekah negeri yang aman dan jauhkanlah aku beserta anak cucuku daripada menyem
5485,positive,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s
5486,positive,aku syg kamu martinricaardo dan kamu donimodali1olehyakub
5487,positive,uhan dalam tidurku malam ini aku mohon engkau siapkan rezeki surprise yang bagus untukku esok hari aamiin
5488,positive,adek tingkatmu kocak ae rek ngekek aku
5489,positive,aku jokowilagi
5490,positive,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah
5491,positive,aku nk bantu dia slagi aku mampu
5492,positive,kamu belum tentu lebih baik darinya dia belum tentu lebih baik darimu di balik fakta siapa lebih kaya secara materi le
5493,positive,siang boss qu jgn lupa makan siang dan selalu pentingin kesehatan kamu yaemangat untuk perfom nya nanti ya
5494,positive,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha
5495,positive,boleh tak aku nak cakap yang aku dah minat drama korea hahahha sial lah hahahaha
5496,positive,sesungguhnya aku hanya tinggal bersabar dan mematuhi nasihat baik kebaikan yang kulakukan adalah untukku
5497,positive,gag aku mah baik
5498,positive,bwahahah aku sih pasti beli dua cuma ya mengingat harus beli albumnya beli phy juga qu bisa apa qaqa
5499,positive,luvluv teman aku yg kordes
5500,positive,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan
5501,positive,acara keren enterpreneurchool 2018 yg diadain sama ini wajib kamu datengin deh intelektual muda apalagi
5502,positive,andai pun kita menyerah dan berkata sudah kau dan aku adalah kita yang terindah
5503,positive,jangan bersedih brader
5504,positive,pintar itu harus beradab klo hanya pintar aja iblis juga pintar apakah anda juga iblis aku lebih
5505,positive,jangan percaya dengan apa yang sedang kamu baca termasuk tweet ini ingin ngakak sendiri saat nulis ini
5506,positive,awalnya mereka mentertawai apa yg kamu ciptakan lalu mereka mengikuti apa yg kamu ciptakan selanjutnya mereka bangga dg
5507,positive,anak jiran aku umur 3 tahun bagitau 'bf ko gay kak sbb tu dia dah taknak pegang tetek ko laangsung' hahahahahaahahaha
5508,positive,yang tau aku ya cuma aku sendiri sama tuhan jadi jangan pernah ngejudge seenaknya
5509,positive,aku yang baik
5510,positive,saya suka video aku tanya pak jokowi pakai bahasa jawa
5511,positive,al quran is the answer for everything that happens in this world termasuk alam semesta ini gimanaetiap permasala
5512,positive,aku teringat ke hehe
5513,positive,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f
5514,positive,akan ada masa dimana kamu yg dulunya selalu ngasih kabar ke orang tua dengan ucapan sprti ini ma pak uang anakmu habis
5515,positive,suami pun dah macamherlock nak kena berfikir bagai utk dapat jawapan power haha
5516,positive,tuhan bijakkanlah aku dalam mengkhawatirkan masa depanku agar aku tak melumpuhkan masa kini ku
5517,positive,aku tak power mana pun masak memasak nie tapi aku harap bila dah kawin nanti setiap hari aku dapat masakkan suami aku d
5518,positive,aku tak akan menarik kembali kata kataku karena itulah jalan ninjaku
5519,positive,jika kamu ingin melupakan rasa marah terhadap seseorang ingatlah kebaikannya
5520,positive,pertama kalinya ada yg ngadain ga sekaligus 2x baik bgt kakanya terhura aku
5521,positive,aku lebih mencintai orang yang menegurku daripada orang yang memujiku kerana orang yang menegurku sebenarnya menyelama
5522,positive,kalo dia anggap kamu sahabat mau semarah apapun dia gak akan bisa benci lama lama pasti balik lagi
5523,positive,bukan nak kata aku ni berani tapi kita tak boleh takut sangat dengan benda ni kita kena takut dengan allah je tapi ke
5524,positive,aku merasakan sebuah pencerahan hari ini
5525,positive,aku terhibur dendangan si ikan kaloi td talented huwaaaa
5526,positive,haha mau ketawa ngakak di depan muka kamu boleh gasih
5527,positive,aku mulai mendewasakan cinta membiarkan kata katamu amarahmu egoismu keras kepalamu lepas dari tubuhmuedangkan aku
5528,positive,malu ah keliatan menel aku wkwkwkwkwk
5529,positive,terserah sampeyan mau bilang apa tapi aku manut habib luthfi dan khryarif rahmat bahwa bendera yg dimaksud dngn liwa dan
5530,positive,iya kamu dari bali yaekalian mutualan yuk aku juga dari bali
5531,positive,iya iya aku jg brcanda yang td wkwk
5532,positive,ada aku
5533,positive,yg aku butuh interaksi dari 95l 99l yuk yg line segitu kuy mutualan nanti ku follow tapi auto followback ok rt aja
5534,positive,aku suka lovitta amp aliqa
5535,positive,ini yg namanya indonesia ini yg namanya toleransi ini yg namanya bhineka tunggal ika peti jenasah pendeta oma palese man
5536,positive,senangnya aku klo km ajak ke sana
5537,positive,ya allah ya tuhanku kau lindungilah kedua ibu bapaku disaat aku berjauhan dengan mereka
5538,positive,angeline miss katae mama aku cuma dapet dikit sincia'an kemaren me dapet berapa her 12 juta katae kembali menguc
5539,positive,mu gemes banget adminnya aku ga jadi marah
5540,positive,karna sekarang aku lagi ulang tahun dan besok hari enip nya ikon aku bakal adain ga pulsa 10k untuk 2 orang cukup aj
5541,positive,kalo aku yg menang jajanin ya wkwk
5542,positive,aku pernah gak buat gini tapi apesal tak baik baik jugak hahahahawau
5543,positive,seseorang yang berarti tak akan dengan mudah kamu miliki jika kamu sungguh mencintai jangan pernah berhenti berusaha untuk hati
5544,positive,kalau itu mah aku juga ngerti atuh
5545,positive,kehidupan adalah 10 yang terjadi pada dirimu dan 90 sisanya adalah bagaimana kamu menghadapinya
5546,positive,ho meta aku ws mg ahhahahah
5547,positive,kamu dulu hehe
5548,positive,aku tahu didepanku banyak halangan dan rintangan tapi aku tak akan berhenti dan menyerah
5549,positive,nasib baik akak aku normal
5550,positive,hahahaha kamu ya klo ada ice cream nyium aja deh besok aja ya imo jemput mau klo hari ini imo mau pacaran dulu
5551,positive,lah kan emang cantik dek masa iya ganteng kalo kamu ganteng trs gua apaan dek
5552,positive,wow aku salute org yg ada kesabaran yg tinggi niiiii huhuhu
5553,positive,kalo di surabaya liat cece cece ngomong kayak anak jaksel tapi logat e suroboyo gyettt be like lah ya ntik gua pick up
5554,positive,ehh nakk haha aku kdg ngam2 cantik kdg tu ter jauh plak smpai kene bukak seatbelt nak hulur keluar haha
5555,positive,jangan terburu buru mengartikan segala yang baru kamu lihat dari permukaan segala yang tampak belum tentu sesuai letak 9996
5556,positive,tls followan ama aku yukk rep rt kita temenan
5557,positive,tuhan memang mentakdirkan kita untuk saling berjauhan tetapi aku yakin tuhan memiliki rencana besar dibalik itu semua
5558,positive,dengan tata ruangan yang bikin kamu nyaman deh buat nongkrong
5559,positive,sentaknya terdiam akan bungkusan mie yang ia lihat guys lihat deh aku dapet apa kocak banget gak sih l
5560,positive,kamu tidak perlu menjadi bulan atau bintang untuk terlihat sempurna karena menjadi dirimu sendiri adalah sebuah kesempurnaan
5561,positive,hahahah agree nak mengadu itu ini panggil awak saya selalu whatsapp hmmm pastu kite marah kite
5562,positive,nampak sgt aku tkde life hahahaha
5563,positive,pak aku pengen nikah pak nduk nikah kue ibadah ojo kesusu ndak ra khusuk nduk paaak
5564,positive,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar
5565,positive,ana uhibbuki fillah hatta fil jannah abadan abada aku mencintaimu hingga ke syurga selama lamanya kerana allah
5566,positive,mau daftar jadi driver ojol
5567,positive,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember
5568,positive,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo
5569,positive,happy videogameday untuk seluruh gamers dimanapun kamu beradaemoga engga cuman main gamers juga bisa berprestasi lewat g
5570,positive,setuju deh sama kamu
5571,positive,moga baik2 saja n dapat baby comel
5572,positive,yuk intip gaya busana julie laiskodat ini bisa jadi refrensi kamu ke kondangan lewat
5573,positive,aku mohon tepatilah janjimu penantiancintaeps19
5574,positive,aku akan bertahan selagi aku bisa namun disaat aku sudah tak bisa dan tak kuat bertahan maka aku akan pergi dan menjauh
5575,positive,wkwkwk ketawa aku kalo sedaerah sekalian meet up deh g
5576,positive,ocit kangen banget ini aku irene dapet acc dari temen dan mau balik rpw
5577,positive,hayuk mas aku mau
5578,positive,iya juga yaa ternyata aku sehebat itu
5579,positive,itu apalagi cuma tuduhan tak berdasar opo aku ra tambah ngguyu
5580,positive,gaisss gaiss aku mau ajak kalian bernostalgia nihh yukk simaxxxx
5581,positive,aku yg ngobatin kalo kamu sakit
5582,positive,kalaulah dengan senyuman boleh pulihkan hati aku yang sakit ni aku sanggup senyumetiap masa aku sanggup
5583,positive,tapi aku mencintaimu 30 emha ainun nadjib 14ep 2018 tetes tak mungkin kau temukan alama
5584,positive,iya tulus itu coba saja kamu fokus bersihin jerawat biar pede lagi
5585,positive,dan memang terbuktilah aku lagi tertarik dengan orang yg kelakar hahaahahahahaha
5586,positive,hanya karena kamu ditolak tidak berarti kau harus bersedih
5587,positive,aku ganteng weareskatepunkers
5588,positive,tidak ada yang sia sia jika kamu bisa mengambil hikmah dari setiap masalahemua hanya proses pembelajaran diri untuk men
5589,positive,semoga kamu tdk secepatnya berlalu
5590,positive,kamu mau kemana sih udah disini aja diluar dingin biar aku peluk ucap kasur kepadaku di setiap pagi hari
5591,positive,aku akan meyakinkan smw org bahwa mohini mencintai hartamu mohini penantiancintaeps19
5592,positive,mau dong aku lg butuh acc
5593,positive,aku tidak akan melepaskan tanganmu sebelum kau melepaskannya full house
5594,positive,aku suka orang cakap macam ni even tak rasa benda tu menyusahkan pon at least aku tahu dia appreciate pertolongan aku https
5595,positive,wkwkwkwkwkwwk tumben sekali kamu bepikir positip iiiaaaa
5596,positive,izinkan aku berbahagia karena aku serius bisa buat photocard sendiri lel
5597,positive,aku suka liat kakaknya jadi mas adimas lagi dong kalo sehun
5598,positive,di hari jum'at yang baik dan mustajab ini aku ingin berdo'a yaa allah berikan hamba keberanian untuk keluar dari
5599,positive,aku pengen ini ya allah
5600,positive,hahahahahahah selalu umpan aku dgn bakso cheese kan hahaha inshaallah nanti kalau jd buat aku gtau
5601,positive,wkwk harusnya aku tanya juga pertanyaan itu karena aku kepo and i knew her since long
5602,positive,rlt ini di mall aku nemu ginian ngakak bgt
5603,positive,rlt inilah alasan kenapa aku cinta twitter ' cr sharpanocopath
5604,positive,aku cuba utk tak awkward dgn kau aku berterima kasih sbb kau pun membantu
5605,positive,kebahagiaan tidak akan habis hanya karena membaginya ketahuilah kebahagiaan bertambah ketika kamu bersedia untuk berbag
5606,positive,dan hendaklah mereka memaafkan dan berlapang dada apakah kamu tidak suka bahwa allah mengampunimu dan allah ma
5607,positive,seorang ksatria patriot pasti mengayomi yg lemah buktinya kita semua tau siapa yg menulis buku aku bangga jadi anak pki o
5608,positive,aku suka tobeli
5609,positive,kamu suka kanuka dongg
5610,positive,terkadang untuk membuatmu menyadari siapa dirimu tuhan tak memberi orang yang kamu inginkan tapi orang yang kamu butuhkan
5611,positive,aku suka bila org yg aku syg selalu cari aku letakkan aku sbg priority diauka duka susah senang dia cari aku dia tak p
5612,positive,jika allah memberi kamu nikmat sepotong roti saja syukurilah itu kerana allah tidak membuat kamu meminta minta kepada ora
5613,positive,gak ada bosannya nunggu kamu balik lagi sama aku '
5614,positive,alhamdulillah baru sampe rumah nih hari yang panjang sekali jadi ngantuk banget sampe susah melek tetapi aku seneng
5615,positive,sarah gtayang hahahah tersasul panggil sayang hahahahah lawak abang ipar aku ni
5616,positive,jangan berpikir kamu tak mampu hidup tanpa dia yg telah meninggalkanmu percayalah ada seseorang yg lebih baik sedang menunggumu
5617,positive,maafin aku masih suka ngetawain ini
5618,positive,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka
5619,positive,teruntuk kak rehan kamu yg sabar ya
5620,positive,orangnya ganteng wangi murah senyum asik lemah lembut tapi ngetik aku masih aq bhay mz
5621,positive,aku balik ngefans lagi wkwkwk
5622,positive,bro followan yuk ama aku ava ku sungwoon auto follback ya hehe
5623,positive,aku ikutan
5624,positive,santai ae lak aku
5625,positive,mengenali diriku sendiri adalah kunci untuk mencapai kesempurnaan karena itu berarti aku mengetahui apa yang bisa dan tidak bisa kulakukan
5626,positive,lol
5627,positive,sedap juga makan bende rebus ikan dengan nasi putihh aku penuh kesabaran tgk mak abh makan sambal sotong
5628,positive,aman aku teringat kau ckp apply kerja kat jobstreet aku apply kejap aje dapat bersyukur siak terima kasih lin
5629,positive,aku selalu berpikir cinta itu artinya ingin selalu bersama seseorang yg sebenarnya sangat berharga dalam hidupku itsukipas pa
5630,positive,tak peduli apa yang telah hilang dalam hidupmu selama kamu masih mampu bersyukur pada tuhan kamu tak kehilangan apapun
5631,positive,sayang kalo kamu cari yang tajir dan ganteng aku mundur tapi kalo kamu cari pengobatan ala tiongkok akupuntur
5632,positive,aku dengan kakak aku always wey tak pun yo
5633,positive,pasanganmu tetap yang terbaik selama kamu tidak terus terusan mencari kekurangannya justru kurangnya dia kamu usaha lengkapi
5634,positive,done yaa moment yang bikin aku jatuh cinta samaeventeen setiap kali aku melihat sikap kekeluargaan
5635,positive,thank you pulsanya udah masuk ya padahal mah aku niatnya cuma jawab komen kamu aja eh malah dikasih pulsa wkwke
5636,positive,aku baru menyadarinya setelah sekian lamaemoga kelak dapet dospem yg baik hati
5637,positive,giveaway lagi nihhhh aku akan jadi karma buat kebaikan yang udh kalian lakuin selama ini dgn cara bagiin parfum yg lg hits
5638,positive,sedap ni buat sate
5639,positive,lee jonguk karena memang ia menganggap ljs adalah teman baik maka tidak perlu merasa canggung bukankah jika aku merasa rindu
5640,positive,kalau aku mau melakukan itu jadinya ini nyatanya begini taunya begitu
5641,positive,doa rezeki tak putus inna haa zaa larizquna maa lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu pember
5642,positive,amiiiiin goodluck
5643,positive,bukan aku lah setan ish dia ni ahahahahahahah syaza en alamak pukul kau kang
